[0.0038731025259416477, 0.0039088515487640104]
[0.0035827010101540913, 0.0033072867746320447]
[0.002249924539170498, 0.003087499936103463]
[0.0025598741834179537, 0.003415250994810353]
[0.0030279681243604146, 0.0032090136829840896]
[0.00443269281713444, 0.004646689072917062]
[0.003575844206874679, 0.004979113837525345]
[0.17117229739621256, 0.09454787494579096]
[0.02501126723489297, 0.027142580960662275]
[0.05276582996379947, 0.05927081399755693]
[0.08719632288629171, 0.3589408418418157]
[0.1276016170529409, 0.15960990834980135]
[0.27730458527722857, 0.32789362882376744]
[0.04351510828549564, 0.03686689850496685]
