[0.0029426814249414878, 0.002811432750671645]
[0.00216026645235127, 0.0022793625898221434]
[0.003839761065349048, 0.005056709535757748]
[0.0019142467297123076, 0.001935507304982282]
[0.0035853535096481183, 0.0016068254035910194]
[0.0032064195309188803, 0.0031757699363710603]
[0.003684054977779975, 0.0033522918069459626]
[0.0827700763108786, 0.12961999495903076]
[0.01850860466033739, 0.01781217448285643]
[0.046214393863132204, 0.03406483642346827]
[0.0710982745662772, 0.055782993545381195]
[0.11785354534244478, 0.1124431659811838]
[0.09124243266075378, 0.13051638262572507]
[0.05402451343546277, 0.048520325116883034]
